,tissue,diet,ME11,ME4,ME14,ME1,ME7,ME5,ME9,ME2,ME8,ME6,ME12,ME13,ME3,ME10,ME0
Brain_1SY,Brain,SY,0.248028285539527,-0.106261911262751,-0.354196312260979,-0.0837415233211865,-0.341003391112715,0.403036416335027,0.143364062067643,0.491139564061219,0.434473131049591,-0.0509658102078535,-0.109747079397396,-0.142241983508669,-0.0092556154758488,0.350312221907119,0.43547647270538
Gut_1SY,Gut,SY,0.728262204624035,0.893609075257786,0.0162466231268503,-0.319920258402478,-0.179863297072606,-0.364254965103148,-0.482869342040833,-0.197807988173009,0.215523794958925,-0.205325225818962,-0.379733220505115,-0.705314821529622,-0.334517360748211,-0.420805661011774,-0.143063535776312
FatBody_1SY,FatBody,SY,-0.15201835748379,-0.0893990058299667,0.150968284706729,-0.0849886329883203,0.224770560109715,-0.269120856566561,-0.380288037377802,-0.189893505351686,-0.187142856211832,-0.0942302647172401,-0.311054558124878,0.365288307978238,0.308496832885401,0.170401673682416,-0.160097516119127
Ovary_1SY,Ovary,SY,-0.239896871744388,-0.185152111089602,-0.194137743209746,0.499843795307818,0.353552857910692,0.176044849949356,0.268774951110124,-0.212132660168115,-0.320058146278836,-0.280783162996664,0.0508905125955433,-0.0411678690245717,-0.394625660609113,-0.350600132666757,-0.233135401570639
Thorax_1SY,Thorax,SY,-0.102192250507348,0.119038020938823,0.467499179478376,-0.223991466363828,-0.180816162645792,-0.168222392308516,0.143836848979381,-0.0251115309948927,-0.00727826924093091,0.500927253432778,0.484405660567861,0.015455394054284,0.192695080657106,-0.0335823534126804,-0.0407048275865293
Brain_1SY.1,Brain,SY,0.218194784325034,-0.116400233258312,-0.332334043729626,-0.0766627616536484,-0.311481075042033,0.380078427956766,0.155056485445111,0.480837027525833,0.427071913081583,-0.0470595570461024,-0.0851895440189001,-0.109134230944339,0.0159567871594479,0.327210031169962,0.560456261515483
Thorax_1SY.1,Thorax,SY,-0.134463260187312,0.0778365960415962,0.206620308693399,-0.249284430054211,-0.184061692664693,-0.22268566260859,0.0978662614141752,-0.04707457237214,-0.0448948330295833,0.474228158848265,0.406077592569749,0.0593624140335404,0.21166513630465,-0.0639150367576958,-0.0896709864534647
Brain_1SY.2,Brain,SY,0.298482798222017,-0.127859959831947,-0.394312594560737,-0.069550906379294,-0.358678922707258,0.418911017990712,0.19122109519239,0.501235103154849,0.44748070733911,-0.0668462799702465,-0.0987271545169803,-0.183034872071807,-0.0673652653578358,0.359456319634882,0.484634033745483
Ovary_1SY.1,Ovary,SY,-0.236274258693579,-0.200322102382646,-0.134463739675097,0.504270629048802,0.362652735099214,0.163568182342668,0.272533869107013,-0.210768889971751,-0.304860785054487,-0.283066734450847,0.0829069922589172,-0.0232586271203526,-0.390534055993688,-0.351499692650163,-0.196263188374524
FatBody_1SY.1,FatBody,SY,-0.155726376738066,-0.0832305255680296,0.204478483378353,-0.0824206237362734,0.228316539795834,-0.262171672485719,-0.38098616759992,-0.185913657193029,-0.18924603325143,-0.0869439495849848,-0.265913076004259,0.379703081703785,0.316979845840001,0.17628126962868,-0.130544795696401
Ovary_1SY.2,Ovary,SY,-0.219628836293021,-0.196970838887513,-0.215540445297122,0.458121453481426,0.341295965417865,0.14095234403344,0.24137352587823,-0.201371195508282,-0.28437228483787,-0.259547743739428,0.0665473395612455,-0.0398683003344557,-0.381176205322381,-0.344555939804562,-0.264543833545879
FatBody_1SY.2,FatBody,SY,-0.157789506475929,-0.0692679539676923,0.210356503156442,-0.099224345948757,0.225691292473392,-0.26810558886318,-0.384386357868659,-0.182613300301905,-0.181596364126382,-0.0741692207620739,-0.261643125111199,0.387762367990144,0.339175433579919,0.182785319444303,-0.132758014924681
Thorax_1SY.2,Thorax,SY,-0.0949783545871806,0.0843809498402554,0.368815496193157,-0.172450928990048,-0.180375409561614,-0.128030100672253,0.114502805693148,-0.0205243947070944,-0.00509997439785664,0.47378253701336,0.421179660125412,0.0364491387738257,0.192505047080553,-0.00148801916372998,-0.0897846679187831
Brain_EAA,Brain,EAA,0.147760149975877,0.0806966192457092,-0.0671270100709164,0.0220341121108058,-0.218447750694547,0.333966688358616,0.0886185904562478,0.423299260228954,0.327596617903736,-0.0786699034756105,-0.0933750013135021,-0.0892498357062929,-0.0193141484829175,0.202816398797347,0.401226754285245
Gut_EAA,Gut,EAA,0.431322716192362,0.465893260294186,0.450523442792167,-0.187901364024105,-0.112489060317781,-0.25669894539863,-0.292125748806657,-0.163293213858064,0.175217288159583,-0.150143010353481,-0.252918325533943,-0.421657944343774,-0.232511563038586,-0.315963852675473,-0.184262399175907
FatBody_EAA,FatBody,EAA,-0.18037327337146,-0.167336327776719,0.0215283588649845,-0.193495235866429,0.208009938665689,-0.270490114350367,-0.352433854840305,-0.153165634986168,-0.186938734134165,-0.0584996314901849,-0.283154598749247,0.391203123924798,0.38036551727099,0.302023437756178,-0.094228512741617
Ovary_EAA,Ovary,EAA,-0.264365660148398,-0.253457563318884,-0.297060690656943,0.503711659543001,0.391299845997917,0.207829055626268,0.282063102588598,-0.182405968895495,-0.340585682375135,-0.243037133377085,0.0991000146958701,0.0476079615913145,-0.312889846406518,-0.253625158579283,-0.258773881814275
Gut_EAA.1,Gut,EAA,0.457379524299111,0.475896863740213,0.239558711307109,-0.1806844359414,-0.123110067801442,-0.231278864260738,-0.306134257175891,-0.162298793700248,0.22222833365002,-0.156949966198983,-0.247281437237016,-0.415883341067601,-0.245541106467479,-0.306813630427394,-0.16702814690004
Thorax_EAA,Thorax,EAA,-0.131953842443019,-0.0114039657436114,0.224743937821686,-0.138851563922692,-0.186664191458903,-0.101311090949523,0.17203629974464,0.00190744919955084,-0.0432135202670259,0.491432441881173,0.432613932955155,0.051407854841493,0.176360613788646,0.0147258818567366,0.0655652304907391
Brain_EAA.1,Brain,EAA,0.109743434652346,-0.0996584082198319,-0.361814680756652,-0.0272994577952831,-0.313484751684091,0.410368510878523,0.205414142647377,0.523373246613023,0.387193423239283,-0.00960699062646864,-0.00611474933051487,-0.0332348482547045,0.0242662610350301,0.319303961556134,0.494503760705397
Thorax_EAA.1,Thorax,EAA,-0.128615059656565,0.00315408450373645,0.151962835962939,-0.117172774296931,-0.184081992657255,-0.119233992714766,0.198535808070482,-0.0204839476314474,-0.0645313518788538,0.472444391117393,0.466777172018232,0.0351249689431156,0.153682418499367,-0.00812364541871891,0.0238838940667192
Brain_EAA.2,Brain,EAA,0.149316321353536,-0.0705756061871382,-0.343412494389429,-0.0380149305381613,-0.328531361539693,0.429882332659469,0.180972275153545,0.544996358848905,0.41907335633756,-0.0338472364522916,-0.0523765518859922,-0.0746986384055032,-0.00286532044567032,0.350818886556225,0.505228178716058
Ovary_EAA.1,Ovary,EAA,-0.265893739267337,-0.272274091277841,-0.310388854674323,0.503640462026267,0.392774569825947,0.209925552059579,0.292052436012639,-0.180940449048789,-0.337087760227555,-0.250598525055778,0.0966676133702677,0.0604530246178391,-0.312069525395992,-0.253397510495189,-0.240972742065148
FatBody_EAA.1,FatBody,EAA,-0.184503200585377,-0.163666487818104,0.151826106971548,-0.118997520559642,0.213134426077347,-0.223169408786422,-0.297150095970951,-0.148951024629392,-0.187626168860295,-0.0427895972253327,-0.239001896013425,0.360011567503866,0.363204358431804,0.236527094922666,-0.112783567349256
Ovary_EAA.2,Ovary,EAA,-0.257109421648263,-0.263996527763464,-0.316459138502439,0.496103904512482,0.378889507646872,0.210846482409479,0.279136293878188,-0.180202417000102,-0.333259042863001,-0.248314383161071,0.0850194874762749,0.0481841308089743,-0.315300770398492,-0.255427359945328,-0.245431098093263
Gut_EAA.2,Gut,EAA,0.435652912506251,0.488903738455826,0.174481765392656,-0.173265201967373,-0.126270588852221,-0.23894075937423,-0.27616870600224,-0.16757194692784,0.184507383380072,-0.156566689777905,-0.191727322464026,-0.42078737533695,-0.251810245849874,-0.335423463497225,-0.204122632942097
FatBody_EAA.2,FatBody,EAA,-0.180379750165415,-0.178574455857898,0.00978724508718865,-0.180313084716377,0.221178888529099,-0.2651338677086,-0.334697049411831,-0.154379124107301,-0.186687248968331,-0.0495738811336109,-0.253987183059831,0.398488680532787,0.393599363019173,0.293342407859579,-0.100549329370746
Thorax_EAA.2,Thorax,EAA,-0.137981111693646,-0.0336011322761795,0.271850464850424,-0.16949456856416,-0.212207411736937,-0.0965615784486581,0.159880763656158,0.0201162058944152,-0.0358868930958932,0.514720115329235,0.439758845071698,0.063030670350638,0.200823994440517,0.00921655173374664,0.117744492188191
Brain_rapa,Brain,rapa,-0.103950695894267,-0.179684873549356,-0.478908571218915,-0.0286851903530786,-0.26284216953672,0.363695968478506,0.188201753115312,0.488649245148132,0.39608494742183,-0.0488829479381081,-0.0351487608900747,-0.0208012696824967,0.0402308634941345,0.334049259858109,0.478494967744353
Gut_rapa,Gut,rapa,-0.511239496510737,0.505633706818755,0.0654195589142205,-0.239537054939021,-0.16685512548515,-0.282978413139437,-0.352504158494785,-0.168661571359115,0.160426933533473,-0.152808827651796,-0.299367389075021,-0.482538126400272,-0.247449665024811,-0.307848545830058,-0.214185540669337
FatBody_rapa,FatBody,rapa,0.20593458719418,-0.155382252340404,0.178999655726032,-0.21169625515191,0.259442473006612,-0.270445328232501,-0.359646131526283,-0.151429640395329,-0.17520381832417,-0.0326013013633138,-0.285408162555958,0.408372420458595,0.385564832238099,0.256523542735214,-0.113004726695009
Ovary_rapa,Ovary,rapa,0.25719951159439,-0.237262471199995,-0.351996884871085,0.473185377281885,0.360015207541094,0.200512837421847,0.256186497388457,-0.183278546450945,-0.333883454279133,-0.246473287934337,0.0773537013304162,0.0264007940146032,-0.308531888321636,-0.252525522978876,-0.203284481453634
Gut_rapa.1,Gut,rapa,-0.346503615164237,0.461877013566974,-0.030098176089452,-0.100817046698508,-0.019509537293498,-0.291053895050686,-0.215853520712896,-0.195828720620245,0.0403735440491318,-0.1554579637518,-0.15471552114475,-0.33739060714669,-0.240809714676619,-0.356219142318851,-0.200832421693555
Thorax_rapa,Thorax,rapa,0.131717294883692,0.00527849553909526,0.160589730298538,-0.146299491095613,-0.208129727340871,-0.0838204528272988,0.140039292139735,0.00962511135489133,-0.0162412301157098,0.505300502858225,0.456878334420629,0.0251278510633424,0.181678178029356,0.0178858823613712,0.0684274036993405
Brain_rapa.1,Brain,rapa,-0.131979299063789,-0.0801267182435112,-0.133863106103002,-0.0308091454839354,-0.307535577151546,0.379935736366297,0.207550271585589,0.502567082878074,0.420031980218231,-0.0580703498831329,-0.0231849680994923,-0.0648837695545796,-0.0038460668667733,0.3040637835257,0.435847686885515
Thorax_rapa.1,Thorax,rapa,0.116141737364564,0.00450108927176724,0.130762959237877,-0.12640929044522,-0.222227792462071,-0.120069104566923,0.147851454064378,-0.00231474018974935,-0.0755486122458231,0.466547606853981,0.400109968299377,0.0541385951483193,0.148784725135684,1.82388009720841e-06,0.0877545155742705
Brain_rapa.2,Brain,rapa,-0.156633118997578,-0.0681972619040096,0.318418430208794,0.00795622015102848,-0.301124015262272,0.399109781487431,0.165266785911666,0.500515454347312,0.431941398359062,-0.0490850941904173,-0.0538545533919239,-0.0902434182959431,-0.0251248270836993,0.302743072668178,0.489691951793057
Ovary_rapa.1,Ovary,rapa,0.250994934450856,-0.264460568313755,-0.388011180472567,0.50851517444027,0.361543204488943,0.226630626363454,0.296444188062152,-0.17883755802949,-0.339544816455861,-0.266010020129193,0.090048102389229,0.0438994491403649,-0.323920570958067,-0.240552968227941,-0.196238683012269
FatBody_rapa.1,FatBody,rapa,0.208148155545619,-0.175155520421847,0.173271149888552,-0.20584984374978,0.24533164496898,-0.268535116452242,-0.340231521096727,-0.15171383303615,-0.179630831128336,-0.0220718195986663,-0.258133714518096,0.411090489240817,0.399241407799625,0.268203404970914,-0.128996300383139
Ovary_rapa.2,Ovary,rapa,0.247693399015205,-0.24205956694644,-0.311917421274935,0.510913562051719,0.358679587547806,0.224852873568137,0.299987231904891,-0.180860468268035,-0.335571231002536,-0.258081760768015,0.146166384749133,0.0420300090571166,-0.310249658241083,-0.246723205160831,-0.219433609884987
Gut_rapa.2,Gut,rapa,-0.46253757951203,0.492418148476782,0.19009224748234,-0.19487514580175,-0.104662241672508,-0.237708800434362,-0.307264860815793,-0.169866295171136,0.16212207682605,-0.159792656910979,-0.287396353171516,-0.407703700419922,-0.236005009166247,-0.332090457455271,-0.229442680139493
FatBody_rapa.2,FatBody,rapa,0.172789345281452,-0.0737135129451354,0.33720516602182,-0.0822101631328507,0.224478500959539,-0.170761087935914,-0.276212980113593,-0.133858321566747,-0.132843319413748,-0.0182757796849122,-0.219173941976354,0.359912827393143,0.362984561425387,0.226034785629193,-0.152195069736906
Thorax_rapa.2,Thorax,rapa,0.122224839812681,0.00633429219108071,0.140036442251782,-0.133381707073235,-0.216604432308337,-0.0693656250463085,0.150185698587898,0.015292801358531,-0.0225135674424614,0.495763700092464,0.445826873634402,0.0325884559836026,0.17745283221665,0.0264542863430503,0.0973969879717925
